


trunk
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|  ChainedWood 20 |    20 |      1.8e-02 |   379 |   2.3e-02 | first_order |   7.1e+01 |       381 |        243 |           0 |           1596 |         1.1e-05 |        6.4e+01 |
| ChainedPowel 20 |    20 |      1.4e-02 |    59 |   4.8e-03 | first_order |   8.3e-05 |        61 |         40 |           0 |            261 |         5.4e-05 |        6.6e+01 |
|    CraggLevy 20 |    20 |      2.6e-01 |  5000 |   2.0e+00 |    max_eval |   1.7e+04 |      5002 |       3077 |           0 |          20387 |         1.3e-05 |        6.2e+01 |
|        Brown 20 |    20 |      1.5e-02 |   345 |   1.7e-05 | first_order |   7.1e+00 |       347 |        238 |           0 |           1537 |         9.8e-06 |        6.9e+01 |
|   Rosenbrock 40 |    40 |      1.1e-01 |  1790 |   4.4e-03 | first_order |   1.3e-05 |      1792 |       1173 |           0 |           7657 |         1.5e-05 |        6.5e+01 |
|  ChainedWood 40 |    40 |      1.2e-01 |  2607 |   3.4e-02 | first_order |   2.2e-04 |      2609 |       1651 |           0 |          10864 |         1.1e-05 |        6.3e+01 |
| ChainedPowel 40 |    40 |      5.9e-03 |    62 |   2.9e-03 | first_order |   1.1e-05 |        64 |         41 |           0 |            269 |         2.2e-05 |        6.4e+01 |
|    CraggLevy 40 |    40 |      2.6e-01 |  5000 |   4.6e+00 |    max_eval |   3.9e+04 |      5002 |       4059 |           0 |          25297 |         1.0e-05 |        8.1e+01 |
|        Brown 40 |    40 |      5.0e-02 |  1045 |   3.1e-05 | first_order |   2.3e+01 |      1047 |        900 |           0 |           5547 |         9.1e-06 |        8.6e+01 |
|   Rosenbrock 60 |    60 |      1.2e-01 |  2002 |   5.3e-03 | first_order |   2.3e-05 |      2004 |       1333 |           0 |           8669 |         1.4e-05 |        6.7e+01 |
|  ChainedWood 60 |    60 |      2.5e-01 |  4490 |   4.0e-02 | first_order |   4.7e+01 |      4492 |       2910 |           0 |          19042 |         1.3e-05 |        6.5e+01 |
| ChainedPowel 60 |    60 |      5.0e-03 |    55 |   4.4e-03 | first_order |   1.0e-04 |        57 |         37 |           0 |            242 |         2.0e-05 |        6.5e+01 |
|    CraggLevy 60 |    60 |      3.3e-01 |  5000 |   4.6e+00 |    max_eval |   6.1e+04 |      5002 |       3850 |           0 |          24252 |         1.4e-05 |        7.7e+01 |
|        Brown 60 |    60 |      7.6e-02 |  1539 |   2.3e-05 | first_order |   4.3e+01 |      1541 |       1345 |           0 |           8266 |         9.2e-06 |        8.7e+01 |
